2024-05-04 23:09:05 CPU Usage: 15.6 | Memory Usage: 22.79 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 2.00, 0.94 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.634/1.882/2.125/0.184 Avg:ms Max:
2024-05-04 23:25:50 CPU Usage: 76.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.22, 1.31, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.737/1.905/2.189/0.150 Avg:ms Max:
2024-05-04 23:25:55 CPU Usage: 64.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.32, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.860/2.103/2.325/0.194 Avg:ms Max:
2024-05-04 23:26:00 CPU Usage: 90.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.50, 1.36, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.584/1.813/2.028/0.146 Avg:ms Max:
2024-05-04 23:26:05 CPU Usage: 50 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.46, 1.36, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.690/1.839/2.061/0.134 Avg:ms Max:
2024-05-04 23:26:10 CPU Usage: 50 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.42, 1.35, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.709/1.955/2.113/0.150 Avg:ms Max:
2024-05-04 23:26:16 CPU Usage: 48.4 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.34, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.628/1.816/1.997/0.132 Avg:ms Max:
2024-05-04 23:26:21 CPU Usage: 51.5 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.36, 1.34, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.698/1.812/1.928/0.085 Avg:ms Max:
2024-05-04 23:26:26 CPU Usage: 48.4 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.33, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.416/1.832/2.194/0.261 Avg:ms Max:
2024-05-04 23:26:31 CPU Usage: 43.8 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.30, 1.33, 1.15 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.469/1.670/1.990/0.174 Avg:ms Max:
2024-05-04 23:26:37 CPU Usage: 55.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.32, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.466/1.759/2.157/0.240 Avg:ms Max:
2024-05-04 23:26:42 CPU Usage: 100 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.26, 1.32, 1.14 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.621/1.812/2.097/0.176 Avg:ms Max:
2024-05-04 23:26:47 CPU Usage: 76.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.24, 1.31, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.640/1.904/2.156/0.170 Avg:ms Max:
2024-05-04 23:26:52 CPU Usage: 93.8 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.22, 1.31, 1.14 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.547/1.869/2.112/0.185 Avg:ms Max:
2024-05-04 23:26:58 CPU Usage: 51.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.20, 1.30, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.600/1.899/2.133/0.194 Avg:ms Max:
2024-05-04 23:27:03 CPU Usage: 46.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.10, 1.28, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.580/1.671/1.715/0.048 Avg:ms Max:
2024-05-04 23:27:08 CPU Usage: 51.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.17, 1.29, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.615/1.851/2.076/0.187 Avg:ms Max:
2024-05-04 23:27:13 CPU Usage: 50 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.15, 1.28, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.687/1.889/2.200/0.209 Avg:ms Max:
2024-05-04 23:27:19 CPU Usage: 50 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.14, 1.28, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.762/1.860/1.964/0.064 Avg:ms Max:
2024-05-04 23:27:24 CPU Usage: 53.1 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.12, 1.27, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.771/2.002/2.257/0.158 Avg:ms Max:
2024-05-04 23:27:29 CPU Usage: 64.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.11, 1.27, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.624/1.893/2.213/0.210 Avg:ms Max:
2024-05-04 23:27:34 CPU Usage: 50 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.10, 1.26, 1.13 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.485/1.794/2.101/0.225 Avg:ms Max:
2024-05-04 23:27:39 CPU Usage: 54.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.26, 1.29, 1.14 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.629/1.835/2.079/0.146 Avg:ms Max:
2024-05-04 23:27:45 CPU Usage: 46.7 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.48, 1.34, 1.16 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.503/1.788/2.022/0.199 Avg:ms Max:
2024-05-04 23:27:50 CPU Usage: 45.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.00, 1.45, 1.20 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.348/1.888/2.123/0.284 Avg:ms Max:
2024-05-04 23:27:55 CPU Usage: 46.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.92, 1.44, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.715/1.933/2.142/0.152 Avg:ms Max:
2024-05-04 23:28:00 CPU Usage: 50 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.84, 1.43, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.727/1.956/2.217/0.182 Avg:ms Max:
2024-05-04 23:28:06 CPU Usage: 46.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.78, 1.42, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.562/1.850/2.121/0.206 Avg:ms Max:
2024-05-04 23:28:11 CPU Usage: 48.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.79, 1.43, 1.20 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.634/1.978/2.306/0.221 Avg:ms Max:
2024-05-04 23:28:16 CPU Usage: 58.8 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.73, 1.43, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.418/1.787/2.232/0.284 Avg:ms Max:
2024-05-04 23:28:21 CPU Usage: 46.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.67, 1.42, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.653/1.864/2.301/0.238 Avg:ms Max:
2024-05-04 23:28:27 CPU Usage: 48.4 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.62, 1.41, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.643/1.860/2.075/0.137 Avg:ms Max:
2024-05-04 23:28:32 CPU Usage: 45.2 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.49, 1.39, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.535/1.973/2.215/0.248 Avg:ms Max:
2024-05-04 23:28:37 CPU Usage: 55.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.45, 1.38, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.600/1.756/1.851/0.092 Avg:ms Max:
2024-05-04 23:28:42 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.41, 1.37, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.895/1.929/1.965/0.026 Avg:ms Max:
2024-05-04 23:28:47 CPU Usage: 51.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.38, 1.37, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.363/1.737/2.101/0.261 Avg:ms Max:
2024-05-04 23:28:53 CPU Usage: 54.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.27, 1.35, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.573/1.840/2.157/0.187 Avg:ms Max:
2024-05-04 23:28:58 CPU Usage: 50 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.25, 1.34, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.653/1.869/2.137/0.196 Avg:ms Max:
2024-05-04 23:29:03 CPU Usage: 47.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.23, 1.33, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.746/1.911/2.150/0.151 Avg:ms Max:
2024-05-04 23:29:08 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.35, 1.36, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.585/1.749/1.905/0.112 Avg:ms Max:
2024-05-04 23:29:14 CPU Usage: 45.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.32, 1.35, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.373/1.779/2.159/0.259 Avg:ms Max:
2024-05-04 23:29:19 CPU Usage: 47.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.37, 1.36, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.475/1.755/1.952/0.166 Avg:ms Max:
2024-05-04 23:29:24 CPU Usage: 52.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.42, 1.37, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.617/1.780/1.926/0.112 Avg:ms Max:
2024-05-04 23:29:29 CPU Usage: 46.9 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.37, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.527/1.776/1.953/0.154 Avg:ms Max:
2024-05-04 23:29:35 CPU Usage: 84.8 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.36, 1.36, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.498/1.662/1.863/0.163 Avg:ms Max:
2024-05-04 23:29:40 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.35, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.577/1.781/1.928/0.127 Avg:ms Max:
2024-05-04 23:29:45 CPU Usage: 88.6 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.30, 1.35, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.485/1.785/2.239/0.260 Avg:ms Max:
2024-05-04 23:29:50 CPU Usage: 48.4 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.34, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.605/1.817/2.131/0.177 Avg:ms Max:
2024-05-04 23:29:55 CPU Usage: 100 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.18, 1.32, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.616/1.809/2.004/0.154 Avg:ms Max:
2024-05-04 23:30:01 CPU Usage: 58.3 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.16, 1.31, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.560/1.819/2.079/0.164 Avg:ms Max:
2024-05-04 23:30:06 CPU Usage: 62.5 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.07, 1.29, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.805/1.954/2.090/0.106 Avg:ms Max:
2024-05-04 23:30:11 CPU Usage: 53.1 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.14, 1.30, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.573/1.802/2.101/0.204 Avg:ms Max:
2024-05-04 23:30:16 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.13, 1.30, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.446/1.902/2.107/0.240 Avg:ms Max:
2024-05-04 23:30:22 CPU Usage: 50 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.12, 1.29, 1.17 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.702/1.808/1.956/0.082 Avg:ms Max:
2024-05-04 23:30:27 CPU Usage: 51.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.19, 1.30, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.615/1.750/1.968/0.123 Avg:ms Max:
2024-05-04 23:30:32 CPU Usage: 54.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.26, 1.32, 1.18 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.625/1.757/1.997/0.151 Avg:ms Max:
2024-05-04 23:30:37 CPU Usage: 56.2 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.48, 1.36, 1.20 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.545/1.769/2.000/0.154 Avg:ms Max:
2024-05-04 23:30:43 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.44, 1.35, 1.20 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.670/1.943/2.210/0.174 Avg:ms Max:
2024-05-04 23:30:48 CPU Usage: 48.4 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.40, 1.35, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.589/1.751/1.958/0.160 Avg:ms Max:
2024-05-04 23:30:53 CPU Usage: 54.5 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.45, 1.36, 1.20 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.434/1.729/1.822/0.148 Avg:ms Max:
2024-05-04 23:30:58 CPU Usage: 53.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.38, 1.35, 1.20 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.523/1.748/1.937/0.171 Avg:ms Max:
2024-05-04 23:31:04 CPU Usage: 93.9 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.35, 1.34, 1.19 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.531/1.796/2.001/0.152 Avg:ms Max:
2024-05-04 23:31:09 CPU Usage: 59.4 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.32, 1.34, 1.19 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.463/1.801/2.099/0.202 Avg:ms Max:
2024-05-04 23:31:14 CPU Usage: 50 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.30, 1.33, 1.19 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.484/1.776/2.157/0.241 Avg:ms Max:
2024-05-04 23:31:19 CPU Usage: 50 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.19, 1.31, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.511/1.755/1.906/0.132 Avg:ms Max:
2024-05-04 23:31:25 CPU Usage: 46.9 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.18, 1.30, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.601/1.783/1.925/0.123 Avg:ms Max:
2024-05-04 23:31:30 CPU Usage: 52.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.16, 1.30, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.357/1.679/1.820/0.182 Avg:ms Max:
2024-05-04 23:31:35 CPU Usage: 54.8 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.15, 1.29, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.620/1.797/2.001/0.134 Avg:ms Max:
2024-05-04 23:31:40 CPU Usage: 55.3 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.14, 1.29, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.419/1.759/2.036/0.212 Avg:ms Max:
2024-05-04 23:31:45 CPU Usage: 57.6 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.21, 1.30, 1.18 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.632/1.846/2.028/0.163 Avg:ms Max:
2024-05-04 23:31:51 CPU Usage: 51.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.43, 1.34, 1.20 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.408/1.869/2.088/0.248 Avg:ms Max:
2024-05-04 23:31:56 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.40, 1.34, 1.20 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.396/1.619/1.855/0.147 Avg:ms Max:
2024-05-04 23:32:01 CPU Usage: 69.7 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.36, 1.33, 1.20 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.685/1.797/2.006/0.129 Avg:ms Max:
2024-05-04 23:32:06 CPU Usage: 87.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.33, 1.19 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.730/2.019/2.291/0.211 Avg:ms Max:
2024-05-04 23:32:12 CPU Usage: 59.4 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.31, 1.32, 1.19 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.710/1.814/2.087/0.143 Avg:ms Max:
2024-05-04 23:32:17 CPU Usage: 46.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.31, 1.19 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.613/1.919/2.260/0.257 Avg:ms Max:
2024-05-04 23:32:22 CPU Usage: 46.9 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.26, 1.31, 1.19 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.739/1.990/2.369/0.228 Avg:ms Max:
2024-05-04 23:32:27 CPU Usage: 46.7 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.44, 1.55, 1.27 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.567/1.788/2.066/0.178 Avg:ms Max:
2024-05-04 23:32:33 CPU Usage: 43.3 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.33, 1.54, 1.27 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.344/1.689/1.930/0.198 Avg:ms Max:
2024-05-04 23:32:38 CPU Usage: 91.2 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.78, 1.65, 1.31 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.665/1.964/2.256/0.203 Avg:ms Max:
2024-05-04 23:32:43 CPU Usage: 54.3 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.56, 1.62, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.617/1.910/2.141/0.195 Avg:ms Max:
2024-05-04 23:32:48 CPU Usage: 100 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.43, 1.61, 1.30 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.706/1.939/2.146/0.143 Avg:ms Max:
2024-05-04 23:32:54 CPU Usage: 53.1 | Memory Usage: 31.42 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.29, 1.61, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.615/1.895/2.104/0.184 Avg:ms Max:
2024-05-04 23:32:59 CPU Usage: 61.8 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.18, 1.60, 1.30 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.416/1.838/2.182/0.253 Avg:ms Max:
2024-05-04 23:33:04 CPU Usage: 54.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.09, 1.59, 1.29 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.574/1.788/2.040/0.165 Avg:ms Max:
2024-05-04 23:33:09 CPU Usage: 66.7 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.00, 1.58, 1.29 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.568/1.798/1.929/0.121 Avg:ms Max:
2024-05-04 23:33:14 CPU Usage: 78.1 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.92, 1.57, 1.29 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.859/1.977/2.100/0.101 Avg:ms Max:
2024-05-04 23:33:20 CPU Usage: 58.8 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.01, 1.59, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.452/1.626/1.849/0.135 Avg:ms Max:
2024-05-04 23:33:25 CPU Usage: 53.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.93, 1.58, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.577/1.775/2.021/0.153 Avg:ms Max:
2024-05-04 23:33:30 CPU Usage: 47.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.85, 1.57, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.537/1.798/1.905/0.133 Avg:ms Max:
2024-05-04 23:33:35 CPU Usage: 53.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.78, 1.56, 1.29 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.623/1.945/2.178/0.203 Avg:ms Max:
2024-05-04 23:33:41 CPU Usage: 52.9 | Memory Usage: 31.39 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.72, 1.55, 1.29 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.566/1.768/2.081/0.193 Avg:ms Max:
2024-05-04 23:33:46 CPU Usage: 54.5 | Memory Usage: 31.40 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.66, 1.54, 1.29 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.736/1.903/2.073/0.121 Avg:ms Max:
2024-05-04 23:33:51 CPU Usage: 55.9 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.85, 1.58, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.617/1.797/1.989/0.119 Avg:ms Max:
2024-05-04 23:33:56 CPU Usage: 48.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.78, 1.57, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.519/1.752/2.003/0.177 Avg:ms Max:
2024-05-04 23:34:02 CPU Usage: 47.1 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.64, 1.55, 1.29 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.734/1.892/2.057/0.106 Avg:ms Max:
2024-05-04 23:34:07 CPU Usage: 54.5 | Memory Usage: 31.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.67, 1.56, 1.30 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.515/1.722/1.833/0.120 Avg:ms Max:
