2024-05-04 18:53:03 CPU Usage: 18.2% | Memory Usage: 22.88% | I/O Usage (read write): 3.29 9.05 | Load Average:  6.07, 2.95, 1.28 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.768/1.972/2.119/0.131 Avg:ms Max:
2024-05-04 19:09:45 CPU Usage: 12.1% | Memory Usage: 29.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.39, 0.71 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.478/1.727/2.006/0.201 Avg:ms Max:
2024-05-04 19:09:51 CPU Usage: 12.1% | Memory Usage: 29.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.21, 0.39, 0.70 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.459/1.742/2.081/0.272 Avg:ms Max:
2024-05-04 19:09:56 CPU Usage: 9.7% | Memory Usage: 29.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.19, 0.38, 0.70 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.484/1.637/1.889/0.150 Avg:ms Max:
2024-05-04 19:10:01 CPU Usage: 14.7% | Memory Usage: 29.36% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.37, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.573/1.793/2.033/0.147 Avg:ms Max:
2024-05-04 19:10:06 CPU Usage: 9.1% | Memory Usage: 29.36% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.36, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.543/1.677/1.872/0.126 Avg:ms Max:
2024-05-04 19:10:12 CPU Usage: 8.8% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.13, 0.35, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.692/1.860/2.172/0.169 Avg:ms Max:
2024-05-04 19:10:17 CPU Usage: 0% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.12, 0.35, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.427/1.615/1.684/0.095 Avg:ms Max:
2024-05-04 19:10:22 CPU Usage: 15.2% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.11, 0.34, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.517/1.721/2.053/0.196 Avg:ms Max:
2024-05-04 19:10:27 CPU Usage: 11.8% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.10, 0.34, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.621/1.923/2.185/0.190 Avg:ms Max:
2024-05-04 19:10:32 CPU Usage: 6.5% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.26, 0.36, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.558/1.781/2.134/0.212 Avg:ms Max:
2024-05-04 19:10:38 CPU Usage: 9.4% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.24, 0.36, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.575/1.737/1.827/0.094 Avg:ms Max:
2024-05-04 19:10:43 CPU Usage: 6.2% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.35, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.617/1.749/1.938/0.107 Avg:ms Max:
2024-05-04 19:10:48 CPU Usage: 9.1% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.35, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.623/1.886/2.178/0.194 Avg:ms Max:
2024-05-04 19:10:53 CPU Usage: 9.4% | Memory Usage: 29.39% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.18, 0.34, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.372/1.628/1.817/0.166 Avg:ms Max:
2024-05-04 19:10:58 CPU Usage: 9.4% | Memory Usage: 29.39% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.65, 0.43, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.357/1.605/1.909/0.190 Avg:ms Max:
2024-05-04 19:11:04 CPU Usage: 6.2% | Memory Usage: 29.39% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.60, 0.43, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.489/1.705/1.811/0.125 Avg:ms Max:
2024-05-04 19:11:09 CPU Usage: 9.4% | Memory Usage: 29.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.55, 0.42, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.483/1.689/1.823/0.122 Avg:ms Max:
2024-05-04 19:11:14 CPU Usage: 12.1% | Memory Usage: 29.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.58, 0.43, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.746/1.919/2.164/0.157 Avg:ms Max:
2024-05-04 19:11:19 CPU Usage: 12.1% | Memory Usage: 29.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.54, 0.42, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.506/1.745/1.946/0.157 Avg:ms Max:
2024-05-04 19:11:24 CPU Usage: 12.1% | Memory Usage: 29.39% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.49, 0.41, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.622/1.856/2.021/0.141 Avg:ms Max:
2024-05-04 19:11:30 CPU Usage: 6.2% | Memory Usage: 29.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.45, 0.41, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.901/1.982/2.105/0.074 Avg:ms Max:
2024-05-04 19:11:35 CPU Usage: 6.2% | Memory Usage: 29.41% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.42, 0.40, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.375/1.766/2.054/0.260 Avg:ms Max:
2024-05-04 19:11:40 CPU Usage: 12.1% | Memory Usage: 29.41% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.38, 0.39, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.655/1.766/1.968/0.115 Avg:ms Max:
2024-05-04 19:11:45 CPU Usage: 9.4% | Memory Usage: 29.41% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.35, 0.39, 0.66 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.510/1.688/1.826/0.107 Avg:ms Max:
2024-05-04 19:11:51 CPU Usage: 9.4% | Memory Usage: 29.41% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.32, 0.38, 0.66 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.659/1.767/1.890/0.084 Avg:ms Max:
2024-05-04 19:11:56 CPU Usage: 6.5% | Memory Usage: 29.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.30, 0.37, 0.66 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.462/1.724/2.180/0.264 Avg:ms Max:
2024-05-04 19:12:01 CPU Usage: 6.2% | Memory Usage: 29.41% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.25, 0.36, 0.65 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.892/2.021/2.174/0.110 Avg:ms Max:
2024-05-04 19:12:06 CPU Usage: 6.1% | Memory Usage: 29.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.23, 0.35, 0.65 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.671/1.866/2.077/0.146 Avg:ms Max:
2024-05-04 19:12:11 CPU Usage: 0% | Memory Usage: 29.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.29, 0.36, 0.65 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.926/2.108/2.266/0.124 Avg:ms Max:
2024-05-04 19:12:17 CPU Usage: 11.8% | Memory Usage: 29.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.27, 0.36, 0.64 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.421/1.728/1.981/0.182 Avg:ms Max:
2024-05-04 19:12:22 CPU Usage: 56.2% | Memory Usage: 29.32% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.25, 0.35, 0.64 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.584/1.812/2.117/0.178 Avg:ms Max:
2024-05-04 19:12:27 CPU Usage: 12.1% | Memory Usage: 29.32% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.23, 0.35, 0.64 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.767/1.857/2.046/0.101 Avg:ms Max:
2024-05-04 19:12:32 CPU Usage: 57.6% | Memory Usage: 29.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.21, 0.34, 0.63 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.405/1.985/2.340/0.338 Avg:ms Max:
2024-05-04 19:12:38 CPU Usage: 27.3% | Memory Usage: 29.35% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.19, 0.33, 0.63 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.465/1.803/2.021/0.213 Avg:ms Max:
2024-05-04 19:12:43 CPU Usage: 61.1% | Memory Usage: 29.34% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.18, 0.33, 0.63 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.742/1.914/2.037/0.107 Avg:ms Max:
2024-05-04 19:12:48 CPU Usage: 9.1% | Memory Usage: 29.35% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.16, 0.32, 0.62 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.605/1.814/2.082/0.164 Avg:ms Max:
2024-05-04 19:12:53 CPU Usage: 36.4% | Memory Usage: 29.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.32, 0.62 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.723/1.930/2.211/0.181 Avg:ms Max:
2024-05-04 19:12:58 CPU Usage: 40.6% | Memory Usage: 29.36% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.14, 0.31, 0.62 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.323/1.709/2.151/0.273 Avg:ms Max:
2024-05-04 19:13:04 CPU Usage: 6.5% | Memory Usage: 29.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.13, 0.31, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.731/1.878/2.072/0.114 Avg:ms Max:
2024-05-04 19:13:09 CPU Usage: 11.8% | Memory Usage: 29.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.12, 0.30, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.718/1.914/2.178/0.151 Avg:ms Max:
2024-05-04 19:13:14 CPU Usage: 6.5% | Memory Usage: 29.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.11, 0.30, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.706/1.788/1.909/0.073 Avg:ms Max:
2024-05-04 19:13:19 CPU Usage: 16.1% | Memory Usage: 29.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.10, 0.29, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.664/1.806/1.946/0.113 Avg:ms Max:
2024-05-04 19:13:25 CPU Usage: 9.4% | Memory Usage: 29.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.09, 0.29, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.430/1.670/2.010/0.214 Avg:ms Max:
2024-05-04 19:13:30 CPU Usage: 6.2% | Memory Usage: 29.43% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.24, 0.31, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.696/2.021/2.158/0.166 Avg:ms Max:
2024-05-04 19:13:35 CPU Usage: 3.2% | Memory Usage: 29.43% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.30, 0.33, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.500/1.771/2.098/0.205 Avg:ms Max:
2024-05-04 19:13:40 CPU Usage: 9.7% | Memory Usage: 29.43% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.28, 0.32, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.580/1.749/1.941/0.114 Avg:ms Max:
2024-05-04 19:13:45 CPU Usage: 11.8% | Memory Usage: 29.43% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.26, 0.31, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.708/1.847/2.163/0.163 Avg:ms Max:
2024-05-04 19:13:51 CPU Usage: 9.4% | Memory Usage: 29.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.24, 0.31, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.645/1.861/2.152/0.171 Avg:ms Max:
2024-05-04 19:13:56 CPU Usage: 9.7% | Memory Usage: 29.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.22, 0.30, 0.59 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.385/1.699/1.904/0.174 Avg:ms Max:
2024-05-04 19:14:01 CPU Usage: 12.1% | Memory Usage: 29.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.30, 0.59 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.731/1.940/2.340/0.215 Avg:ms Max:
2024-05-04 19:14:06 CPU Usage: 6.5% | Memory Usage: 29.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.17, 0.29, 0.58 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.663/1.927/2.075/0.169 Avg:ms Max:
2024-05-04 19:14:11 CPU Usage: 3.1% | Memory Usage: 29.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.15, 0.28, 0.58 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.752/1.891/2.102/0.122 Avg:ms Max:
2024-05-04 19:14:17 CPU Usage: 9.4% | Memory Usage: 29.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.14, 0.28, 0.58 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.576/1.843/2.250/0.256 Avg:ms Max:
2024-05-04 19:14:22 CPU Usage: 9.4% | Memory Usage: 29.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.13, 0.27, 0.57 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.679/2.333/3.770/0.750 Avg:ms Max:
2024-05-04 19:14:27 CPU Usage: 6.2% | Memory Usage: 29.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.20, 0.29, 0.58 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.484/1.705/1.911/0.155 Avg:ms Max:
2024-05-04 19:14:32 CPU Usage: 76.5% | Memory Usage: 29.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.42, 0.33, 0.59 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.487/1.677/1.924/0.144 Avg:ms Max:
2024-05-04 19:14:38 CPU Usage: 77.1% | Memory Usage: 29.50% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.47, 0.34, 0.59 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.672/1.862/2.037/0.115 Avg:ms Max:
2024-05-04 19:14:43 CPU Usage: 58.8% | Memory Usage: 29.55% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.51, 0.35, 0.59 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.652/1.856/1.982/0.111 Avg:ms Max:
2024-05-04 19:14:48 CPU Usage: 27.3% | Memory Usage: 30.62% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.63, 0.38, 0.60 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.658/1.860/2.180/0.185 Avg:ms Max:
2024-05-04 19:14:53 CPU Usage: 40.6% | Memory Usage: 30.78% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.74, 0.41, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.606/1.834/2.081/0.151 Avg:ms Max:
2024-05-04 19:14:59 CPU Usage: 40% | Memory Usage: 31.83% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.68, 0.40, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.737/1.880/2.101/0.146 Avg:ms Max:
2024-05-04 19:15:04 CPU Usage: 29% | Memory Usage: 31.84% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.71, 0.41, 0.61 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.537/1.721/2.066/0.193 Avg:ms Max:
2024-05-04 19:15:09 CPU Usage: 29% | Memory Usage: 31.83% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.29, 0.54, 0.65 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.702/1.854/2.037/0.112 Avg:ms Max:
2024-05-04 19:15:14 CPU Usage: 76.5% | Memory Usage: 31.75% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.27, 0.55, 0.65 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.742/1.909/2.101/0.129 Avg:ms Max:
2024-05-04 19:15:19 CPU Usage: 38.2% | Memory Usage: 31.72% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.57, 0.62, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.498/1.699/1.861/0.125 Avg:ms Max:
2024-05-04 19:15:25 CPU Usage: 74.3% | Memory Usage: 31.66% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.52, 0.63, 0.68 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.730/1.820/1.911/0.061 Avg:ms Max:
2024-05-04 19:15:30 CPU Usage: 39.4% | Memory Usage: 31.60% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.48, 0.63, 0.68 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.618/1.678/1.722/0.045 Avg:ms Max:
2024-05-04 19:15:35 CPU Usage: 37.5% | Memory Usage: 31.54% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.36, 0.62, 0.67 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.707/2.020/2.493/0.265 Avg:ms Max:
2024-05-04 19:15:40 CPU Usage: 44.1% | Memory Usage: 31.50% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.49, 0.66, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.691/1.950/2.187/0.165 Avg:ms Max:
2024-05-04 19:15:46 CPU Usage: 80% | Memory Usage: 31.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.53, 0.68, 0.69 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.743/1.981/2.162/0.193 Avg:ms Max:
2024-05-04 19:15:51 CPU Usage: 41.2% | Memory Usage: 31.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.65, 0.72, 0.71 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.648/1.796/1.898/0.089 Avg:ms Max:
2024-05-04 19:15:56 CPU Usage: 71% | Memory Usage: 31.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.60, 0.73, 0.71 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.510/1.684/1.925/0.148 Avg:ms Max:
2024-05-04 19:16:01 CPU Usage: 50% | Memory Usage: 31.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.65, 0.77, 0.72 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.341/1.701/2.036/0.232 Avg:ms Max:
2024-05-04 19:16:07 CPU Usage: 41.9% | Memory Usage: 31.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.52, 0.76, 0.72 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.414/1.596/1.797/0.157 Avg:ms Max:
2024-05-04 19:16:12 CPU Usage: 78.1% | Memory Usage: 31.35% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.56, 0.78, 0.73 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.700/1.885/2.099/0.132 Avg:ms Max:
2024-05-04 19:16:17 CPU Usage: 86.1% | Memory Usage: 31.34% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.68, 0.81, 0.74 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.460/1.749/1.947/0.191 Avg:ms Max:
2024-05-04 19:16:22 CPU Usage: 39.4% | Memory Usage: 31.31% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.62, 0.82, 0.74 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.478/1.696/1.861/0.128 Avg:ms Max:
2024-05-04 19:16:27 CPU Usage: 42.4% | Memory Usage: 31.29% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.57, 0.82, 0.74 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.493/1.658/1.746/0.092 Avg:ms Max:
2024-05-04 19:16:33 CPU Usage: 45.5% | Memory Usage: 31.27% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.61, 0.84, 0.75 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.668/1.879/2.193/0.191 Avg:ms Max:
2024-05-04 19:16:38 CPU Usage: 54.8% | Memory Usage: 31.22% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.56, 0.84, 0.75 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.754/1.879/2.114/0.138 Avg:ms Max:
2024-05-04 19:16:43 CPU Usage: 51.5% | Memory Usage: 31.21% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.59, 0.86, 0.76 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.870/1.950/2.085/0.072 Avg:ms Max:
2024-05-04 19:16:48 CPU Usage: 35.5% | Memory Usage: 31.21% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.71, 0.90, 0.77 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.427/1.892/2.074/0.245 Avg:ms Max:
2024-05-04 19:16:54 CPU Usage: 43.8% | Memory Usage: 31.20% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.65, 0.90, 0.77 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.263/1.785/2.109/0.293 Avg:ms Max:
2024-05-04 19:16:59 CPU Usage: 38.2% | Memory Usage: 31.17% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.52, 0.89, 0.77 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.690/1.898/2.183/0.168 Avg:ms Max:
2024-05-04 19:17:04 CPU Usage: 47.2% | Memory Usage: 31.13% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.80, 0.95, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.486/1.566/1.641/0.054 Avg:ms Max:
2024-05-04 19:17:09 CPU Usage: 54.3% | Memory Usage: 31.07% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.65, 0.94, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.724/1.823/2.022/0.104 Avg:ms Max:
2024-05-04 19:17:15 CPU Usage: 53.3% | Memory Usage: 31.03% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.60, 0.94, 0.79 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.307/1.707/2.066/0.243 Avg:ms Max:
2024-05-04 19:17:20 CPU Usage: 67.7% | Memory Usage: 30.98% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.55, 0.94, 0.79 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.352/1.762/2.018/0.220 Avg:ms Max:
2024-05-04 19:17:25 CPU Usage: 86.5% | Memory Usage: 30.96% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.51, 0.94, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.796/1.941/2.048/0.095 Avg:ms Max:
2024-05-04 19:17:30 CPU Usage: 57.1% | Memory Usage: 31.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.47, 0.94, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.507/1.716/1.909/0.127 Avg:ms Max:
2024-05-04 19:17:36 CPU Usage: 48.5% | Memory Usage: 31.36% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.35, 0.93, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.679/1.836/2.092/0.147 Avg:ms Max:
2024-05-04 19:17:41 CPU Usage: 46.9% | Memory Usage: 31.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.24, 0.91, 0.78 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.520/1.631/1.845/0.125 Avg:ms Max:
2024-05-04 19:17:46 CPU Usage: 41.9% | Memory Usage: 31.31% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.22, 0.91, 0.78 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.329/1.766/2.107/0.255 Avg:ms Max:
2024-05-04 19:17:51 CPU Usage: 41.9% | Memory Usage: 31.28% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.27, 0.93, 0.79 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.689/1.860/2.220/0.211 Avg:ms Max:
2024-05-04 19:17:56 CPU Usage: 83.9% | Memory Usage: 31.24% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.33, 0.95, 0.80 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.632/1.866/2.216/0.218 Avg:ms Max:
2024-05-04 19:18:02 CPU Usage: 43.8% | Memory Usage: 31.22% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.30, 0.95, 0.80 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.652/1.887/2.036/0.152 Avg:ms Max:
